2^2 Full Factorial Randomized Experiment Design Table,,,,,,,,,,,,,,
Run Number,Growth Duration (min),Variables,Time of Growth,Sample Name,SEM Imaging,,,,Polishing,Raman Spectroscopy,,Response,,
,,Total Gas Flow Rate (sccm),,,Graphene,Dew,Temp,Interesting,,Folder Name,Link,Coverage,Avg. Crystal Size,Nucleation Density
1,7,280,1:07 PM,20200629_1,Maybe,13.04,25.5,,20200629_1,,,,,
2,7,280,11:00 AM,20200630_1,No,12.96,25.5,,20200630_1,,,,,
3,7,1000,1:40 PM,20200630_2,Yes,12.74,25.7,,20200630_1,,,,,
4,7,760,4:56 PM,20200702_1,Yes,12.3,25.2,,20200702_1,,,,,
5,7,760,7:31 PM,20200702_2,Yes,12.76,26,,20200702_1,,,,,
6,7,520,10:35 PM,20200702_3,Yes,13.04,26,,20200702_2,,,,,
7,7,520,1:52 AM,20200703_1,Yes,13.42,25.8,,20200702_2,,,,,
8,7,520,11:00 PM,20200703_2,Yes,13.2,26,,20200703_2,,,,,
9,7,1000,2:20 AM,20200704_1,Yes,13.16,26.6,,20200703_2,,,,,
10,7,760,3:55 PM,20200705_1,Yes,13.2,25.5,,20200705_1,,,,,
11,7,1000,1:17 PM,20200706_1,Yes,12.72,25.1,,20200706_1,,,,,
12,7,520,7:14 PM,20200706_2,Yes,13.06,25.7,,20200706_2,,,,,
13,7,280,8:15 PM,20200707_2,No,12.92,25.5,,20200707_2,,,,,
14,7,760,7:03 PM,20200709_1,Yes,13.56,25.6,,20200709_1,,,,,
15,7,280,10:45 PM,20200709_2,Yes,14.34,26,,20200709_1,,,,,
16,7,1000,2:00 AM,20200710_1,Yes,14.24,26.2,,20200709_1,,,,,